preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   100 is the",best.,100,best,0,"[(-5.656351089477539, -2.8281755447387695, [-1.9960289001464844, -3.6603221893310547])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   99 is the",best.,99,best,0,"[(-15.656500816345215, -7.828250408172607, [-4.605213165283203, -11.051287651062012])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   98 is the",best.,98,best,0,"[(-15.750825881958008, -7.875412940979004, [-4.780416488647461, -10.970409393310547])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   97 is the",best.,97,best,0,"[(-15.481077194213867, -7.740538597106934, [-4.789934158325195, -10.691143035888672])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   96 is the",best.,96,best,0,"[(-16.104793548583984, -8.052396774291992, [-5.26399040222168, -10.840803146362305])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   95 is the",best.,95,best,0,"[(-15.979230880737305, -7.989615440368652, [-5.091032028198242, -10.888198852539062])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   94 is the",best.,94,best,0,"[(-15.885221481323242, -7.942610740661621, [-4.971405029296875, -10.913816452026367])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   93 is the",best.,93,best,0,"[(-16.160503387451172, -8.080251693725586, [-5.20872688293457, -10.951775550842285])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   92 is the",best.,92,best,0,"[(-16.09257698059082, -8.04628849029541, [-5.178638458251953, -10.913938522338867])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   91 is the",best.,91,best,0,"[(-16.157573699951172, -8.078786849975586, [-5.187697410583496, -10.969876289367676])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   90 is the",best.,90,best,0,"[(-16.416790008544922, -8.208395004272461, [-5.495586395263672, -10.92120361328125])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   89 is the",best.,89,best,0,"[(-16.3826904296875, -8.19134521484375, [-5.623335838317871, -10.759355545043945])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   88 is the",best.,88,best,0,"[(-16.24600601196289, -8.123003005981445, [-5.519637107849121, -10.726369857788086])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   87 is the",best.,87,best,0,"[(-16.365787506103516, -8.182893753051758, [-5.729689598083496, -10.636098861694336])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   86 is the",best.,86,best,0,"[(-16.150081634521484, -8.075040817260742, [-5.523041725158691, -10.627039909362793])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   85 is the",best.,85,best,0,"[(-16.392047882080078, -8.196023941040039, [-5.761455535888672, -10.630593299865723])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   84 is the",best.,84,best,0,"[(-16.410655975341797, -8.205327987670898, [-5.751401901245117, -10.659255027770996])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   83 is the",best.,83,best,0,"[(-16.27798843383789, -8.138994216918945, [-5.68310546875, -10.594883918762207])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   82 is the",best.,82,best,0,"[(-16.224702835083008, -8.112351417541504, [-5.677961349487305, -10.546741485595703])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   81 is the",best.,81,best,0,"[(-16.363855361938477, -8.181927680969238, [-5.691493988037109, -10.672361373901367])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   80 is the",best.,80,best,0,"[(-16.780624389648438, -8.390312194824219, [-5.8882598876953125, -10.892365455627441])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   79 is the",best.,79,best,0,"[(-16.483009338378906, -8.241504669189453, [-5.7093000411987305, -10.773709297180176])]",10731524096,upstage_SOLAR-10.7B-v1.0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   78 is the",best.,78,best,0,"[(-16.324542999267578, -8.162271499633789, [-5.791358947753906, -10.533185005187988])]",10731524096,upstage_SOLAR-10.7B-v1.0
