preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-8.2421875, -4.12109375, [-8.2265625, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-7.3515625, -3.67578125, [-7.3359375, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-7.2109375, -3.60546875, [-7.2109375, 0.0])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-8.1953125, -4.09765625, [-8.1796875, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-7.3671875, -3.68359375, [-7.3515625, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-7.234375, -3.6171875, [-7.21875, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-8.234375, -4.1171875, [-8.21875, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-7.3515625, -3.67578125, [-7.3359375, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-7.2265625, -3.61328125, [-7.2265625, 0.0])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-8.3046875, -4.15234375, [-8.2890625, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-7.3203125, -3.66015625, [-7.3046875, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-7.2578125, -3.62890625, [-7.2421875, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-8.359375, -4.1796875, [-8.328125, -0.03125])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-7.29296875, -3.646484375, [-7.27734375, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-7.2890625, -3.64453125, [-7.2734375, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-8.234375, -4.1171875, [-8.21875, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-7.3125, -3.65625, [-7.296875, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-7.234375, -3.6171875, [-7.21875, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1,"[(-8.3046875, -4.15234375, [-8.2890625, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,3,"[(-7.4921875, -3.74609375, [-7.4765625, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-7.265625, -3.6328125, [-7.265625, 0.0])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,1,"[(-8.234375, -4.1171875, [-8.21875, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2,"[(-7.44921875, -3.724609375, [-7.43359375, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,3,"[(-7.25, -3.625, [-7.25, 0.0])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,3,"[(-8.3125, -4.15625, [-8.296875, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,1,"[(-7.5, -3.75, [-7.484375, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-7.28125, -3.640625, [-7.28125, 0.0])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-8.3359375, -4.16796875, [-8.3203125, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,1,"[(-7.4140625, -3.70703125, [-7.3984375, -0.015625])]",109514298,bert-base-uncased
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,3,"[(-7.28125, -3.640625, [-7.28125, 0.0])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-8.3671875, -4.18359375, [-8.3515625, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,3,"[(-7.375, -3.6875, [-7.359375, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,1,"[(-7.3671875, -3.68359375, [-7.3515625, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,3,"[(-8.2578125, -4.12890625, [-8.2421875, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2,"[(-7.3984375, -3.69921875, [-7.3828125, -0.015625])]",109514298,bert-base-uncased
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,1,"[(-7.3046875, -3.65234375, [-7.2890625, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-8.1875, -4.09375, [-8.171875, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-7.31640625, -3.658203125, [-7.30078125, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-7.18359375, -3.591796875, [-7.18359375, 0.0])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-8.125, -4.0625, [-8.109375, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-7.3125, -3.65625, [-7.296875, -0.015625])]",109514298,bert-base-uncased
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-7.1796875, -3.58984375, [-7.1640625, -0.015625])]",109514298,bert-base-uncased
