preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-7.0625, -3.53125, [-7.046875, -0.015625])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-6.9296875, -3.46484375, [-6.9296875, 0.0])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-6.84375, -3.421875, [-6.84375, 0.0])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-6.9921875, -3.49609375, [-6.9765625, -0.015625])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-6.828125, -3.4140625, [-6.828125, 0.0])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-6.828125, -3.4140625, [-6.828125, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-6.984375, -3.4921875, [-6.984375, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-6.8515625, -3.42578125, [-6.8515625, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-6.90234375, -3.451171875, [-6.90234375, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-6.73046875, -3.365234375, [-6.73046875, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-6.7734375, -3.38671875, [-6.7734375, 0.0])]",335174458,bert-large-uncased
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-6.9375, -3.46875, [-6.9375, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-6.56640625, -3.283203125, [-6.56640625, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-6.7109375, -3.35546875, [-6.7109375, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-7.0, -3.5, [-7.0, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-6.6796875, -3.33984375, [-6.6796875, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-6.703125, -3.3515625, [-6.703125, 0.0])]",335174458,bert-large-uncased
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-6.99609375, -3.498046875, [-6.99609375, 0.0])]",335174458,bert-large-uncased
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1,"[(-7.0234375, -3.51171875, [-7.0078125, -0.015625])]",335174458,bert-large-uncased
