preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-4.775995254516602, -2.387997627258301, [-3.9173030853271484, -0.8586921691894531])]",13015864320,meta-llama_Llama-2-13b-hf
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-4.079408645629883, -2.0397043228149414, [-3.398630142211914, -0.6807785034179688])]",13015864320,meta-llama_Llama-2-13b-hf
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.797048568725586, -1.898524284362793, [-3.2087059020996094, -0.5883426666259766])]",13015864320,meta-llama_Llama-2-13b-hf
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-4.819713592529297, -2.4098567962646484, [-3.9295482635498047, -0.8901653289794922])]",13015864320,meta-llama_Llama-2-13b-hf
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.951173782348633, -1.9755868911743164, [-3.3221569061279297, -0.6290168762207031])]",13015864320,meta-llama_Llama-2-13b-hf
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-4.4411163330078125, -2.2205581665039062, [-3.7418594360351562, -0.6992568969726562])]",13015864320,meta-llama_Llama-2-13b-hf
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-4.267141342163086, -2.133570671081543, [-3.5133609771728516, -0.7537803649902344])]",13015864320,meta-llama_Llama-2-13b-hf
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-4.566139221191406, -2.283069610595703, [-3.7639236450195312, -0.802215576171875])]",13015864320,meta-llama_Llama-2-13b-hf
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-4.140926361083984, -2.070463180541992, [-3.4234886169433594, -0.717437744140625])]",13015864320,meta-llama_Llama-2-13b-hf
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-3.932647705078125, -1.9663238525390625, [-3.3078975677490234, -0.6247501373291016])]",13015864320,meta-llama_Llama-2-13b-hf
