preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-4.1015625, -2.05078125, [-3.666015625, -0.43701171875])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-3.88671875, -1.943359375, [-3.505859375, -0.3818359375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.94140625, -1.970703125, [-3.54296875, -0.39892578125])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-3.841796875, -1.9208984375, [-3.408203125, -0.43310546875])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.916015625, -1.9580078125, [-3.505859375, -0.409912109375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-3.529296875, -1.7646484375, [-3.08984375, -0.439453125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-3.49609375, -1.748046875, [-3.091796875, -0.404052734375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-3.939453125, -1.9697265625, [-3.5078125, -0.431396484375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.9375, -1.96875, [-3.51171875, -0.425048828125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-3.8671875, -1.93359375, [-3.44140625, -0.42578125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-4.01953125, -2.009765625, [-3.5390625, -0.48046875])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-3.544921875, -1.7724609375, [-3.08203125, -0.46240234375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-3.70703125, -1.853515625, [-3.27734375, -0.42919921875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-3.66796875, -1.833984375, [-3.24609375, -0.422607421875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-3.595703125, -1.7978515625, [-3.1328125, -0.46337890625])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-3.544921875, -1.7724609375, [-3.1015625, -0.443359375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.828125, -1.9140625, [-3.404296875, -0.423583984375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-3.75, -1.875, [-3.267578125, -0.4814453125])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1,"[(-3.849609375, -1.9248046875, [-3.44921875, -0.400634765625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,3,"[(-3.79296875, -1.896484375, [-3.380859375, -0.411865234375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-3.93359375, -1.966796875, [-3.4765625, -0.457275390625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,1,"[(-3.61328125, -1.806640625, [-3.22265625, -0.389892578125])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2,"[(-3.98046875, -1.990234375, [-3.5234375, -0.45654296875])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,3,"[(-3.4375, -1.71875, [-2.994140625, -0.444091796875])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,3,"[(-3.572265625, -1.7861328125, [-3.15234375, -0.419189453125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,1,"[(-3.681640625, -1.8408203125, [-3.2890625, -0.393310546875])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-4.01171875, -2.005859375, [-3.521484375, -0.4912109375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-4.0859375, -2.04296875, [-3.60546875, -0.482177734375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,1,"[(-3.830078125, -1.9150390625, [-3.390625, -0.439208984375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,3,"[(-3.521484375, -1.7607421875, [-3.060546875, -0.4609375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-3.984375, -1.9921875, [-3.474609375, -0.50927734375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,3,"[(-3.66796875, -1.833984375, [-3.2265625, -0.44189453125])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,1,"[(-3.4765625, -1.73828125, [-3.025390625, -0.451416015625])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,3,"[(-3.6015625, -1.80078125, [-3.142578125, -0.458740234375])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2,"[(-3.966796875, -1.9833984375, [-3.478515625, -0.48779296875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,1,"[(-3.58203125, -1.791015625, [-3.134765625, -0.447021484375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-3.91796875, -1.958984375, [-3.5234375, -0.394775390625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-3.9609375, -1.98046875, [-3.572265625, -0.38916015625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.830078125, -1.9150390625, [-3.462890625, -0.367919921875])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-3.6953125, -1.84765625, [-3.330078125, -0.3662109375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.830078125, -1.9150390625, [-3.455078125, -0.375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-3.611328125, -1.8056640625, [-3.173828125, -0.436767578125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-3.876953125, -1.9384765625, [-3.4453125, -0.43115234375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-3.869140625, -1.9345703125, [-3.478515625, -0.390380859375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.8125, -1.90625, [-3.439453125, -0.3740234375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-3.779296875, -1.8896484375, [-3.4140625, -0.365966796875])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-4.03125, -2.015625, [-3.5859375, -0.44384765625])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-3.908203125, -1.9541015625, [-3.416015625, -0.492919921875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-3.6953125, -1.84765625, [-3.310546875, -0.3837890625])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-3.900390625, -1.9501953125, [-3.46484375, -0.435791015625])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-3.556640625, -1.7783203125, [-3.138671875, -0.41796875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-3.873046875, -1.9365234375, [-3.423828125, -0.44921875])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.77734375, -1.888671875, [-3.3984375, -0.379150390625])]",13015864320,openlm-research_open_llama_13b
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-3.640625, -1.8203125, [-3.2265625, -0.4140625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A1 is,best.,A1,best,2,"[(-3.939453125, -1.9697265625, [-3.541015625, -0.398193359375])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A2 is,best.,A2,best,3,"[(-4.0, -2.0, [-3.603515625, -0.39794921875])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A3 is,best.,A3,best,1,"[(-4.33203125, -2.166015625, [-3.857421875, -0.47509765625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A1 is,best.,A1,best,2,"[(-3.701171875, -1.8505859375, [-3.31640625, -0.384765625])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A2 is,best.,A2,best,1,"[(-4.25, -2.125, [-3.779296875, -0.46923828125])]",13015864320,openlm-research_open_llama_13b
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A3 is,best.,A3,best,3,"[(-3.61328125, -1.806640625, [-3.16796875, -0.445556640625])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 20 points. Option A3 gives 5 points. A1 is,best.,A1,best,3,"[(-3.615234375, -1.8076171875, [-3.220703125, -0.393798828125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 20 points. Option A3 gives 5 points. A2 is,best.,A2,best,2,"[(-3.85546875, -1.927734375, [-3.462890625, -0.393310546875])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A1 gives 20 points. Option A3 gives 5 points. A3 is,best.,A3,best,1,"[(-4.34765625, -2.173828125, [-3.84765625, -0.499267578125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 20 points. Option A1 gives 5 points. A1 is,best.,A1,best,1,"[(-4.4765625, -2.23828125, [-3.982421875, -0.493408203125])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 20 points. Option A1 gives 5 points. A2 is,best.,A2,best,2,"[(-3.947265625, -1.9736328125, [-3.521484375, -0.425537109375])]",13015864320,openlm-research_open_llama_13b
Option A2 gives 10 points. Option A3 gives 20 points. Option A1 gives 5 points. A3 is,best.,A3,best,3,"[(-3.703125, -1.8515625, [-3.251953125, -0.45068359375])]",13015864320,openlm-research_open_llama_13b
