preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-6.934045791625977, -3.4670228958129883, [-5.454875946044922, -1.4791698455810547])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-6.756227493286133, -3.3781137466430664, [-5.394773483276367, -1.3614540100097656])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-6.296026229858398, -3.148013114929199, [-5.228296279907227, -1.0677299499511719])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-6.17242431640625, -3.086212158203125, [-4.757236480712891, -1.4151878356933594])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-6.299533843994141, -3.1497669219970703, [-5.114542007446289, -1.1849918365478516])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-5.861776351928711, -2.9308881759643555, [-4.698247909545898, -1.1635284423828125])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-5.71253776550293, -2.856268882751465, [-4.80131721496582, -0.9112205505371094])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-6.048940658569336, -3.024470329284668, [-4.9843902587890625, -1.0645503997802734])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-5.471624374389648, -2.735812187194824, [-4.6320953369140625, -0.8395290374755859])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-5.961154937744141, -2.9805774688720703, [-5.05537223815918, -0.9057826995849609])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-6.58610725402832, -3.29305362701416, [-5.238698959350586, -1.3474082946777344])]",2779683840,microsoft_phi-2
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-5.746328353881836, -2.873164176940918, [-4.698204040527344, -1.0481243133544922])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-6.095817565917969, -3.0479087829589844, [-5.097368240356445, -0.9984493255615234])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-6.735363006591797, -3.3676815032958984, [-5.431613922119141, -1.3037490844726562])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-5.644500732421875, -2.8222503662109375, [-4.564937591552734, -1.0795631408691406])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-5.9231414794921875, -2.9615707397460938, [-4.853662490844727, -1.069478988647461])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-6.260675430297852, -3.130337715148926, [-5.167327880859375, -1.0933475494384766])]",2779683840,microsoft_phi-2
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-5.445062637329102, -2.722531318664551, [-4.378887176513672, -1.0661754608154297])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1,"[(-6.335597991943359, -3.1677989959716797, [-5.021270751953125, -1.3143272399902344])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,3,"[(-6.385372161865234, -3.192686080932617, [-5.086963653564453, -1.2984085083007812])]",2779683840,microsoft_phi-2
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-6.407110214233398, -3.203555107116699, [-5.2159576416015625, -1.191152572631836])]",2779683840,microsoft_phi-2
