preamble,stimulus,item,category,rank
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   100 is the",best.,100,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   99 is the",best.,99,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   98 is the",best.,98,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   97 is the",best.,97,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   96 is the",best.,96,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   95 is the",best.,95,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   94 is the",best.,94,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   93 is the",best.,93,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   92 is the",best.,92,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   91 is the",best.,91,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   90 is the",best.,90,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   89 is the",best.,89,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   88 is the",best.,88,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   87 is the",best.,87,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   86 is the",best.,86,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   85 is the",best.,85,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   84 is the",best.,84,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   83 is the",best.,83,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   82 is the",best.,82,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   81 is the",best.,81,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   80 is the",best.,80,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   79 is the",best.,79,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   78 is the",best.,78,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   77 is the",best.,77,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   76 is the",best.,76,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   75 is the",best.,75,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   74 is the",best.,74,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   73 is the",best.,73,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   72 is the",best.,72,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   71 is the",best.,71,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   70 is the",best.,70,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   69 is the",best.,69,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   68 is the",best.,68,best,0
"You and another person have traveled and returned with two vase. However, the airline has broken the vases. You don't know the other person. The airline will let you claim between 100 and 2 dollars for the vase. However, if the other person claims less, then you will get the other person's claim -2. So, if you claim 100 and the other person claims 99, you will get 97. If you claim less than the other person, then you will get your claim +2. So, if you claim 99 and the other person claims 100, you will get 101. If you claim 3 and the other person claims 2, you will get 0. You want to get as much for the vase as possible.   67 is the",best.,67,best,0
