preamble,stimulus,item,category,rank,"score (sum, mean, [list)",params,model
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1,"[(-6.2744140625, -3.13720703125, [-4.6953125, -1.5791015625])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2,"[(-5.390625, -2.6953125, [-4.2265625, -1.1640625])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-4.1865234375, -2.09326171875, [-3.3046875, -0.8818359375])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1,"[(-5.3369140625, -2.66845703125, [-4.0546875, -1.2822265625])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-3.8857421875, -1.94287109375, [-3.013671875, -0.8720703125])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2,"[(-4.1103515625, -2.05517578125, [-3.173828125, -0.9365234375])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2,"[(-4.8115234375, -2.40576171875, [-3.728515625, -1.0830078125])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1,"[(-5.49609375, -2.748046875, [-4.3046875, -1.19140625])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3,"[(-3.6767578125, -1.83837890625, [-2.908203125, -0.7685546875])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-4.14453125, -2.072265625, [-3.22265625, -0.921875])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1,"[(-5.65625, -2.828125, [-4.46484375, -1.19140625])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2,"[(-4.462890625, -2.2314453125, [-3.51953125, -0.943359375])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3,"[(-4.0263671875, -2.01318359375, [-3.111328125, -0.9150390625])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2,"[(-4.869140625, -2.4345703125, [-3.8671875, -1.001953125])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1,"[(-5.2001953125, -2.60009765625, [-4.08203125, -1.1181640625])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2,"[(-4.83984375, -2.419921875, [-3.705078125, -1.134765625])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3,"[(-4.0546875, -2.02734375, [-3.220703125, -0.833984375])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1,"[(-5.3388671875, -2.66943359375, [-4.19140625, -1.1474609375])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1,"[(-5.783203125, -2.8916015625, [-4.3515625, -1.431640625])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,3,"[(-5.0380859375, -2.51904296875, [-3.912109375, -1.1259765625])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-4.1220703125, -2.06103515625, [-3.1953125, -0.9267578125])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,1,"[(-5.05859375, -2.529296875, [-3.83984375, -1.21875])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2,"[(-4.0498046875, -2.02490234375, [-3.11328125, -0.9365234375])]",6921720704,tiiuae_falcon-7b
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,3,"[(-4.173828125, -2.0869140625, [-3.185546875, -0.98828125])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,3,"[(-4.6376953125, -2.31884765625, [-3.58203125, -1.0556640625])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,1,"[(-5.044921875, -2.5224609375, [-3.951171875, -1.09375])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2,"[(-3.8740234375, -1.93701171875, [-3.033203125, -0.8408203125])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-4.3681640625, -2.18408203125, [-3.365234375, -1.0029296875])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,1,"[(-5.388671875, -2.6943359375, [-4.2421875, -1.146484375])]",6921720704,tiiuae_falcon-7b
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,3,"[(-4.4326171875, -2.21630859375, [-3.4375, -0.9951171875])]",6921720704,tiiuae_falcon-7b
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2,"[(-4.201171875, -2.1005859375, [-3.2265625, -0.974609375])]",6921720704,tiiuae_falcon-7b
