preamble,stimulus,item,category,rank
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,1
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,2
Option A1 gives 5 points. Option A2 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,1
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3
Option A1 gives 5 points. Option A3 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,2
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A1 is,best.,A1,best,2
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A2 is,best.,A2,best,1
Option A2 gives 5 points. Option A1 gives 10 points. Option A3 gives 20 points. A3 is,best.,A3,best,3
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,1
Option A2 gives 5 points. Option A3 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,2
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A1 is,best.,A1,best,3
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A2 is,best.,A2,best,2
Option A3 gives 5 points. Option A2 gives 10 points. Option A1 gives 20 points. A3 is,best.,A3,best,1
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A1 is,best.,A1,best,2
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A2 is,best.,A2,best,3
Option A3 gives 5 points. Option A1 gives 10 points. Option A2 gives 20 points. A3 is,best.,A3,best,1
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,1
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,3
Option A1 gives 5 points. Option A2 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,1
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2
Option A1 gives 5 points. Option A3 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,3
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A1 is,best.,A1,best,3
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A2 is,best.,A2,best,1
Option A2 gives 5 points. Option A1 gives 20 points. Option A3 gives 10 points. A3 is,best.,A3,best,2
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,1
Option A2 gives 5 points. Option A3 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,3
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A1 is,best.,A1,best,2
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A2 is,best.,A2,best,3
Option A3 gives 5 points. Option A2 gives 20 points. Option A1 gives 10 points. A3 is,best.,A3,best,1
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A1 is,best.,A1,best,3
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A2 is,best.,A2,best,2
Option A3 gives 5 points. Option A1 gives 20 points. Option A2 gives 10 points. A3 is,best.,A3,best,1
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A1 is,best.,A1,best,2
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A2 is,best.,A2,best,1
Option A1 gives 10 points. Option A2 gives 5 points. Option A3 gives 20 points. A3 is,best.,A3,best,3
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A1 is,best.,A1,best,2
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A2 is,best.,A2,best,3
Option A1 gives 10 points. Option A3 gives 5 points. Option A2 gives 20 points. A3 is,best.,A3,best,1
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A1 is,best.,A1,best,1
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A2 is,best.,A2,best,2
Option A2 gives 10 points. Option A1 gives 5 points. Option A3 gives 20 points. A3 is,best.,A3,best,3
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A1 is,best.,A1,best,3
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A2 is,best.,A2,best,2
Option A2 gives 10 points. Option A3 gives 5 points. Option A1 gives 20 points. A3 is,best.,A3,best,1
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A1 is,best.,A1,best,3
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A2 is,best.,A2,best,1
Option A3 gives 10 points. Option A2 gives 5 points. Option A1 gives 20 points. A3 is,best.,A3,best,2
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A1 is,best.,A1,best,1
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A2 is,best.,A2,best,3
Option A3 gives 10 points. Option A1 gives 5 points. Option A2 gives 20 points. A3 is,best.,A3,best,2
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A1 is,best.,A1,best,2
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A2 is,best.,A2,best,3
Option A1 gives 10 points. Option A2 gives 20 points. Option A3 gives 5 points. A3 is,best.,A3,best,1
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A1 is,best.,A1,best,2
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A2 is,best.,A2,best,1
Option A1 gives 10 points. Option A3 gives 20 points. Option A2 gives 5 points. A3 is,best.,A3,best,3
Option A2 gives 10 points. Option A1 gives 20 points. Option A3 gives 5 points. A1 is,best.,A1,best,3
